Associated Gene Name	% GC content	Gene type	Chromosome Name	Gene Start (bp)	Gene End (bp)	Length
RP1-18D14.7	52.42	antisense	1	47225797	47230750	4953
RP1-18F17.1	49.81	protein_coding	CHR_HSCHR17_1_CTG4	41377665	41382400	4735
RP1-190J20.2	46.67	processed_pseudogene	6	15102946	15104130	1184
RP1-191J18.65	47.84	processed_pseudogene	6	107985089	107985690	601
RP1-191J18.66	56.49	antisense	6	107957413	107959986	2573
RP1-191L6.2	42.37	lincRNA	20	40121041	40126357	5316
RP1-192P9.1	58.64	processed_pseudogene	X	45381527	45381995	468
RP1-193H18.2	36.86	lincRNA	17	69551358	69553861	2503
RP1-193H18.3	40.39	lincRNA	17	69477139	69501755	24616
RP1-196A12.1	50.63	transcribed_unprocessed_pseudogene	16	451404	453461	2057
RP1-197B17.3	50.18	antisense	12	47706085	47742294	36209
RP1-197B17.4	54.95	lincRNA	12	47731908	47732351	443
RP1-197B17.5	32.88	sense_intronic	12	47699401	47699917	516
RP1-197B17.6	55.92	lincRNA	12	47734367	47735709	1342
RP1-197B17.7	50.08	TEC	12	47728151	47730598	2447
RP1-197J16.1	43.88	processed_pseudogene	X	101989481	101989872	391
RP1-197J16.2	39.56	processed_pseudogene	X	102006883	102007294	411
RP1-197O17.3	35.33	processed_pseudogene	X	131937670	131937853	183
RP1-198K11.5	63.04	antisense	20	21302731	21303704	973
RP1-199H16.6	49.10	processed_pseudogene	22	38574931	38575431	500
RP1-199J3.5	49.80	processed_pseudogene	6	99575712	99576456	744
RP1-199J3.6	52.01	TEC	6	99587611	99589898	2287
RP1-199J3.7	57.70	antisense	6	99568097	99569096	999
RP1-19N1.1	48.45	processed_pseudogene	X	106327534	106327824	290
RP1-200G19.1	40.88	processed_pseudogene	17	69707193	69707373	180
RP1-200K18.1	34.95	lincRNA	6	152794496	152831913	37417
RP1-202I21.3	52.48	processed_pseudogene	6	39039603	39039985	382
RP1-202O8.2	60.86	antisense	1	6443034	6447006	3972
RP1-202O8.3	63.20	antisense	1	6393555	6394391	836
RP1-203C2.2	40.76	processed_pseudogene	X	128098032	128098529	497
RP1-203C2.3	36.57	processed_pseudogene	X	128122734	128123496	762
RP1-203C2.4	46.84	processed_pseudogene	X	128127090	128128212	1122
RP1-203P18.1	63.97	processed_pseudogene	X	146619597	146620584	987
RP1-205F14P.1	50.25	lincRNA	22	27414462	27419713	5251
RP1-206D15.5	35.00	processed_pseudogene	1	169474060	169474159	99
RP1-206D15.6	46.98	lincRNA	1	169486076	169486986	910
RP1-207H1.2	47.15	processed_pseudogene	6	38928031	38928153	122
RP1-207H1.3	39.99	antisense	6	38923029	38953099	30070
RP1-209A6.1	37.06	lincRNA	6	22744395	23031780	287385
RP1-209B5.2	51.98	processed_pseudogene	6	131184325	131185486	1161
RP1-209B9.2	40.97	processed_pseudogene	20	7867327	7867614	287
RP1-20B11.2	36.57	antisense	6	524171	525581	1410
RP1-20B21.4	50.40	antisense	1	17406760	17407382	622
RP1-20C7.6	43.03	antisense	6	43033897	43034405	508
RP1-20I3.3	49.30	processed_pseudogene	X	130330857	130331069	212
RP1-20N18.4	52.51	unprocessed_pseudogene	1	153023962	153024260	298
RP1-20N2.7	43.43	processed_pseudogene	6	143386581	143387409	828
RP1-20N2.8	37.60	processed_transcript	6	143484979	143507327	22348
RP1-212G6.4	42.99	processed_pseudogene	X	47718002	47719099	1097
RP1-212P9.2	51.29	lincRNA	1	28867575	28871267	3692
RP1-212P9.3	49.15	antisense	1	28870483	28877336	6853
RP1-213J1P__B.1	49.16	lincRNA	22	27676559	27714970	38411
RP1-213J1P__B.2	47.83	lincRNA	22	27707580	27709931	2351
RP1-215K18.4	43.85	unitary_pseudogene	X	84973217	84977829	4612
RP1-217P22.2	39.61	processed_pseudogene	6	38762905	38764694	1789
RP1-218B13.1	59.52	processed_pseudogene	X	112917636	112917761	125
RP1-21O18.3	45.97	processed_pseudogene	1	15191828	15192845	1017
RP1-21P18.1	39.02	processed_pseudogene	6	4529722	4530008	286
RP1-223B1.1	44.94	lincRNA	6	3594247	3624747	30500
RP1-223D17.1	36.93	processed_pseudogene	X	83559896	83560312	416
RP1-223E5.4	54.16	antisense	6	13614111	13615155	1044
RP1-223H12.5	45.52	processed_pseudogene	1	182433893	182434461	568
RP1-224A6.3	51.49	lincRNA	1	22023994	22024968	974
RP1-224A6.8	37.50	processed_pseudogene	1	22068340	22068827	487
RP1-224A6.9	43.32	lincRNA	1	22100613	22101360	747
RP1-225E12.2	40.62	antisense	6	139144204	139239653	95449
RP1-225E12.3	40.45	processed_transcript	6	139159157	139277181	118024
RP1-225L15.1	70.59	processed_pseudogene	21	44686358	44686629	271
RP1-228H13.1	43.12	processed_pseudogene	1	40333078	40333557	479
RP1-228H13.2	45.45	processed_pseudogene	1	40364766	40365183	417
RP1-228H13.5	37.89	sense_overlapping	1	40464319	40466767	2448
RP1-228P16.1	43.65	transcribed_processed_pseudogene	12	48054813	48055591	778
RP1-228P16.3	46.71	lincRNA	12	48005277	48011227	5950
RP1-228P16.4	45.11	antisense	12	48011304	48025469	14165
RP1-228P16.5	45.24	lincRNA	12	48019771	48025382	5611
RP1-228P16.7	55.56	processed_pseudogene	12	48085062	48085421	359
RP1-228P16.8	43.25	lincRNA	12	48039784	48040761	977
RP1-228P16.9	47.60	TEC	12	47960497	47963469	2972
RP1-229K20.5	53.70	unprocessed_pseudogene	6	41269875	41270239	364
RP1-229K20.8	53.85	processed_pseudogene	6	41250851	41251097	246
RP1-229K20.9	53.37	processed_pseudogene	6	41252696	41252858	162
RP1-22N22.1	50.12	processed_pseudogene	X	28659065	28659469	404
RP1-230L10.1	47.43	lincRNA	6	163703904	163759841	55937
RP1-231P7P.1	48.66	lincRNA	22	27563839	27573573	9734
RP1-232L22__A.1	36.57	processed_pseudogene	X	101720340	101721709	1369
RP1-232L22__B.1	43.69	processed_pseudogene	X	101778969	101780538	1569
RP1-232L24.1	45.77	processed_pseudogene	CHR_HSCHR6_1_CTG2	79464740	79464999	259
RP1-232L24.2	51.29	processed_pseudogene	6	79354443	79354713	270
RP1-232L24.3	40.34	lincRNA	6	79420297	79421305	1008
RP1-232L24.4	43.36	processed_pseudogene	6	79406240	79406774	534
RP1-232N11.2	44.38	antisense	20	42685404	42688562	3158
RP1-232P20.1	44.19	antisense	6	5451683	5458075	6392
RP1-234P15.4	37.06	lincRNA	6	75285014	75297003	11989
RP1-239B22.5	48.42	antisense	11	17380649	17383531	2882
RP1-23E21.2	34.92	lincRNA	6	93070387	93103384	32997
RP1-240B8.3	34.34	3prime_overlapping_ncrna	6	61630233	61681049	50816
RP1-240K6.3	44.82	processed_transcript	14	73462423	73477175	14752
RP1-241P17.1	49.26	antisense	X	115840964	115843050	2086
RP1-241P17.4	45.49	processed_pseudogene	X	115718942	115719229	287
RP1-241P17.7	44.19	processed_pseudogene	X	115659713	115660022	309
RP1-244F24.1	49.95	antisense	6	45421079	45422005	926
RP1-245M18.2	37.20	processed_pseudogene	6	24947880	24948344	464
RP1-247F3.1	26.83	TEC	5	131261321	131261607	286
RP1-249C1.1	38.26	processed_pseudogene	X	88827554	88829858	2304
RP1-249F5.3	46.26	lincRNA	6	159899186	159902510	3324
RP1-249H1.2	38.74	lincRNA	6	113791829	113837368	45539
RP1-249H1.3	42.86	processed_pseudogene	6	113839279	113839621	342
RP1-249I4.2	38.12	lincRNA	6	109826522	109828785	2263
RP1-24O22.5	47.43	processed_pseudogene	6	95124	95454	330
RP1-251I12.1	42.28	lincRNA	5	15112377	15117007	4630
RP1-251M9.2	41.08	lincRNA	10	10960151	10970816	10665
RP1-251M9.3	41.74	antisense	10	11010164	11011119	955
RP1-253B10.1	49.88	processed_pseudogene	6	86729708	86730108	400
RP1-253B10.2	47.93	processed_pseudogene	6	86768522	86768932	410
RP1-253P7.1	54.49	sense_intronic	17	17777781	17779094	1313
RP1-253P7.4	51.18	antisense	17	17858227	17860041	1814
RP1-256G22.2	42.37	antisense	6	5664985	5695272	30287
RP1-257A15.1	37.12	antisense	6	163042557	163054161	11604
RP1-257A7.4	46.94	antisense	6	13264861	13295586	30725
RP1-257A7.5	37.63	lincRNA	6	13290018	13290490	472
RP1-257C22.2	37.30	TEC	13	31960325	31961946	1621
RP1-257I20.14	45.11	sense_intronic	22	42089630	42090028	398
RP1-257I9.2	49.93	lincRNA	6	155380511	155381183	672
RP1-258N20.3	47.47	processed_pseudogene	X	25029545	25030235	690
RP1-261D10.1	49.62	processed_pseudogene	14	71330342	71330738	396
RP1-261D10.2	43.37	antisense	14	71292729	71321814	29085
RP1-261G23.4	43.09	processed_pseudogene	6	43705949	43706751	802
RP1-261G23.5	47.31	lincRNA	6	43722786	43737834	15048
RP1-261G23.7	55.32	antisense	6	43770429	43770616	187
RP1-263J7.2	38.11	processed_pseudogene	6	86170447	86171018	571
RP1-265C24.5	41.23	unprocessed_pseudogene	6	28115628	28116551	923
RP1-265C24.8	43.07	lincRNA	6	28136849	28139678	2829
RP1-266L20.2	47.25	antisense	6	169725091	169725854	763
RP1-266L20.4	40.00	antisense	6	169725504	169738992	13488
RP1-266L20.9	40.92	sense_intronic	6	169770413	169772042	1629
RP1-267D11.1	41.78	processed_pseudogene	12	120057035	120057180	145
RP1-267D11.6	52.48	antisense	12	120116907	120119000	2093
RP1-267L14.3	44.61	antisense	12	112063909	112065755	1846
RP1-267L14.6	41.79	antisense	12	112018804	112019430	626
RP1-269M15.3	49.23	lincRNA	20	43190101	43202599	12498
RP1-269O5.3	53.35	processed_pseudogene	X	111930735	111931092	357
RP1-272E8.1	43.05	processed_pseudogene	X	17933349	17934823	1474
RP1-272E8.2	54.14	unprocessed_pseudogene	X	17897711	17900333	2622
RP1-272L16.1	44.48	lincRNA	1	209528455	209567673	39218
RP1-273G13.1	46.91	processed_pseudogene	8	33859480	33860223	743
RP1-273G13.2	42.49	processed_pseudogene	8	33969567	33969879	312
RP1-273G13.3	40.48	lincRNA	8	33973701	34009595	35894
RP1-273P12.1	41.51	processed_pseudogene	6	17381367	17382120	753
RP1-274L7.1	39.83	lincRNA	X	130477069	130524257	47188
RP1-274L7.3	35.77	unprocessed_pseudogene	X	130545586	130546474	888
RP1-274L7.4	37.92	unprocessed_pseudogene	X	130445085	130475614	30529
RP1-276E15.1	43.03	lincRNA	11	35656694	35661339	4645
RP1-276J11.2	41.13	processed_pseudogene	6	121381472	121381860	388
RP1-276J11.3	54.64	transcribed_unprocessed_pseudogene	6	121389324	121390357	1033
RP1-276N6.2	42.17	lincRNA	6	160272617	160276130	3513
RP1-278C19.8	60.91	antisense	12	120224744	120225421	677
RP1-278D1.2	30.42	TEC	X	117894632	117895683	1051
RP1-278E11.3	49.05	processed_pseudogene	6	39958414	39958833	419
RP1-278O22.1	37.51	lincRNA	20	10753090	10753966	876
RP1-278O22.2	41.74	lincRNA	20	10753278	10765286	12008
RP1-27C22.1	34.95	unprocessed_pseudogene	X	11221348	11225731	4383
RP1-27K12.2	39.26	lincRNA	6	53561289	53617171	55882
RP1-27K12.4	40.94	antisense	6	53503185	53506919	3734
RP1-27O5.3	44.62	protein_coding	1	32465057	32600792	135735
RP1-281E18.1	60.99	processed_pseudogene	6	48701491	48701872	381
RP1-281H8.3	41.49	processed_pseudogene	6	149491567	149492289	722
RP1-283E3.4	50.91	transcribed_processed_pseudogene	1	1724512	1737251	12739
RP1-283E3.8	51.55	processed_transcript	1	1702736	1737688	34952
RP1-283K11.2	32.70	antisense	6	133452857	133456605	3748
RP1-283K11.3	40.34	antisense	6	133435077	133439464	4387
RP1-286D6.5	53.86	antisense	1	3785008	3785538	530
RP1-287H17.1	40.23	lincRNA	6	134706060	134707349	1289
RP1-288H2.2	44.54	lincRNA	12	52092485	52104297	11812
RP1-288L1.4	39.13	lincRNA	22	34711908	34724919	13011
RP1-288L1.5	41.42	lincRNA	22	34703126	34704885	1759
RP1-288M22.1	48.54	processed_pseudogene	6	71550958	71551643	685
RP1-288M22.2	35.27	lincRNA	6	71450834	71458874	8040
RP1-28C20.1	44.17	processed_pseudogene	6	145489630	145492092	2462
RP1-28H20.3	47.23	lincRNA	20	46689659	46690289	630
RP1-28O10.1	41.63	antisense	1	209661364	209724125	62761
RP1-28O17.1	35.42	lincRNA	6	50587607	50637205	49598
RP1-290F12.3	39.92	processed_pseudogene	X	53065053	53065548	495
RP1-290I10.2	47.07	processed_pseudogene	6	10365593	10366582	989
RP1-290I10.3	51.93	lincRNA	6	10423140	10426176	3036
RP1-290I10.5	47.96	lincRNA	6	10474500	10478502	4002
RP1-290I10.7	42.75	lincRNA	6	10434316	10456781	22465
RP1-292B18.1	51.11	processed_pseudogene	6	151099529	151099933	404
RP1-292B18.3	43.67	antisense	6	151054897	151056057	1160
RP1-292B18.4	44.13	antisense	6	151088103	151228447	140344
RP1-292L20.2	46.59	processed_pseudogene	14	70858844	70859429	585
RP1-292L20.3	40.66	lincRNA	14	70906657	70907111	454
RP1-293L6.1	45.90	antisense	22	36703918	36721472	17554
RP1-293L8.2	38.76	lincRNA	6	125674353	125720218	45865
RP1-296G17.3	44.81	processed_pseudogene	X	121024964	121026563	1599
RP1-296L11.1	35.93	antisense	11	31305685	31314548	8863
RP1-297M16.2	44.78	lincRNA	6	151196681	151197638	957
RP1-298M8.1	45.97	processed_pseudogene	20	17188134	17188344	210
RP1-29C18.10	57.86	lincRNA	22	49548681	49556473	7792
RP1-29C18.8	48.86	sense_intronic	22	49612657	49615716	3059
RP1-29C18.9	55.07	lincRNA	22	49572264	49575426	3162
RP1-29G21.1	46.78	sense_intronic	17	33052107	33052867	760
RP1-300G12.2	33.98	sense_intronic	6	81527102	81534915	7813
RP1-300I2.2	43.71	unitary_pseudogene	20	45230868	45233331	2463
RP1-300I2.3	54.67	unprocessed_pseudogene	20	45229817	45230191	374
RP1-301L19.1	43.89	antisense	6	163165414	163192002	26588
RP1-302D9.1	51.85	lincRNA	22	33105383	33106059	676
RP1-302D9.2	43.94	lincRNA	22	33108529	33116294	7765
RP1-302D9.3	42.15	antisense	22	33164063	33166439	2376
RP1-302D9.5	46.73	processed_pseudogene	22	33137140	33137338	198
RP1-302G2.5	55.24	lincRNA	6	44216939	44218236	1297
RP1-303A1.1	46.02	processed_pseudogene	6	7938430	7939322	892
RP1-305B16.3	46.28	processed_pseudogene	X	132130091	132131352	1261
RP1-305G21.1	51.68	processed_pseudogene	11	33450646	33450943	297
RP1-308E4.1	43.65	processed_pseudogene	1	28453541	28453934	393
RP1-309F20.3	44.16	antisense	20	58863528	58888809	25281
RP1-309F20.4	46.67	antisense	20	58876592	58876981	389
RP1-309H15.2	36.79	lincRNA	6	22589137	22593833	4696
RP1-309I22.2	47.21	sense_overlapping	22	32836706	32865634	28928
RP1-309K20.6	43.16	protein_coding	20	35632340	35674544	42204
RP1-30E17.2	37.09	lincRNA	X	128323620	128600468	276848
RP1-30M3.5	35.29	antisense	6	24700907	24701793	886
RP1-30M3.6	38.77	antisense	6	24706747	24707151	404
RP1-310O13.13	39.78	sense_intronic	20	31970181	31970831	650
RP1-310O13.7	53.62	antisense	20	32027753	32031575	3822
RP1-313I6.12	48.61	antisense	6	28078792	28081130	2338
RP1-313L4.3	42.25	antisense	1	167820406	167821224	818
RP1-313L4.4	49.29	unprocessed_pseudogene	1	167819898	167820248	350
RP1-315G1.1	41.30	processed_pseudogene	X	123878590	123879296	706
RP1-315G1.3	57.66	lincRNA	X	123959233	123961341	2108
RP1-317E23.3	57.42	antisense	1	25816749	25820797	4048
RP1-317E23.6	56.05	protein_coding	1	25811470	25823744	12274
RP1-317E23.7	45.50	antisense	1	25831913	25832134	221
RP1-319M7.2	43.41	processed_pseudogene	6	38587323	38588529	1206
RP1-31B8.1	42.03	processed_pseudogene	X	109341813	109342697	884
RP1-321E8.4	37.01	processed_pseudogene	X	120876552	120876805	253
RP1-321E8.5	37.16	protein_coding	X	120877496	120878924	1428
RP1-32B1.4	46.06	antisense	6	135259996	135260933	937
RP1-32I10.10	46.87	lincRNA	22	44365551	44366284	733
RP1-32I10.11	45.41	processed_pseudogene	22	44413485	44414814	1329
RP1-34B20.19	55.10	processed_pseudogene	6	26219045	26219240	195
RP1-34B20.4	51.90	processed_pseudogene	6	26202156	26202654	498
RP1-34H18.1	37.12	lincRNA	12	77324641	77572275	247634
RP1-34L19.1	50.14	processed_pseudogene	6	53206598	53208697	2099
RP1-34M23.5	50.60	antisense	1	34761426	34788097	26671
RP1-34P24.3	57.18	lincRNA	22	49264201	49266080	1879
RP1-35C21.1	39.78	lincRNA	1	177351586	177366272	14686
RP1-35C21.2	39.03	lincRNA	1	177393287	177597709	204422
RP1-37C10.3	57.36	antisense	1	16978926	17005091	26165
RP1-37E16.12	54.37	protein_coding	22	37686414	37774130	87716
RP1-37J18.1	46.47	lincRNA	1	4551735	4552145	410
RP1-37J18.2	41.28	lincRNA	1	4571548	4583421	11873
RP1-37M3.8	39.46	processed_pseudogene	22	45792418	45793636	1218
RP1-37N7.1	56.69	antisense	17	18379855	18388984	9129
RP1-37N7.5	59.93	processed_pseudogene	17	18388871	18389459	588
RP1-37N7.6	38.55	processed_pseudogene	17	18453574	18453739	165
RP1-37N7.7	60.82	unprocessed_pseudogene	17	18390153	18390323	170
RP1-38C16.2	35.07	lincRNA	6	135629405	135630268	863
RP1-39G22.4	37.38	processed_pseudogene	1	40262672	40262984	312
RP1-39G22.7	40.43	antisense	1	40256427	40257967	1540
RP1-39J2.1	53.87	lincRNA	6	168374697	168375355	658
RP1-3E10.2	53.86	processed_pseudogene	X	101911529	101912072	543
RP1-40E16.11	48.47	antisense	6	3138394	3153062	14668
RP1-40E16.12	65.06	antisense	6	3068045	3068894	849
RP1-40E16.2	54.47	lincRNA	6	3055890	3056761	871
RP1-40E16.9	45.16	lincRNA	6	3182744	3195756	13012
RP1-40G4P.1	51.88	processed_pseudogene	22	26886909	26887548	639
RP1-41C23.1	44.79	lincRNA	17	31583162	31637543	54381
RP1-41C23.2	55.99	TEC	17	31533171	31533938	767
RP1-41C23.4	63.57	lincRNA	17	31560132	31560573	441
RP1-41P2.7	43.86	lincRNA	22	35685940	35689373	3433
RP1-43E13.2	45.83	antisense	1	19210501	19240704	30203
RP1-43O17.1	61.54	unprocessed_pseudogene	1	152737518	152737868	350
RP1-43O17.2	58.77	unprocessed_pseudogene	1	152744299	152744606	307
RP1-45C12.1	40.33	antisense	1	171247580	171251794	4214
RP1-45I4.2	35.71	antisense	6	143094034	143099645	5611
RP1-45I4.3	36.76	lincRNA	6	143039425	143042324	2899
RP1-45N11.1	40.93	lincRNA	6	90345219	90362632	17413
RP1-46F2.3	41.68	lincRNA	12	110951683	110957812	6129
RP1-47A17.1	65.48	processed_pseudogene	22	42791814	42794313	2499
RP1-47M23.3	44.52	TEC	6	107697299	107700218	2919
RP1-48J14.1	52.16	processed_pseudogene	17	16893198	16893429	231
RP1-49C23.1	40.39	processed_pseudogene	X	57766320	57767292	972
RP1-4G17.2	57.96	antisense	17	7282947	7284071	1124
RP1-4G17.5	53.22	protein_coding	17	7246829	7262089	15260
RP1-50A13.1	45.30	processed_pseudogene	X	42150511	42150744	233
RP1-50J22.4	48.81	antisense	6	36386831	36393462	6631
RP1-50O24.6	47.04	antisense	1	26876133	26878245	2112
RP1-52D1.1	50.93	processed_pseudogene	X	87425583	87425690	107
RP1-52J10.9	62.15	unprocessed_pseudogene	1	152644393	152644717	324
RP1-53C18.3	43.90	processed_pseudogene	11	34404663	34404949	286
RP1-53O8.2	38.78	antisense	12	2217462	2217920	458
RP1-55C23.7	43.30	antisense	6	132752675	132753951	1276
RP1-56J10.8	45.07	sense_intronic	22	30598309	30606687	8378
RP1-56K13.2	42.81	antisense	17	38903704	38904600	896
RP1-56K13.3	54.46	antisense	17	38918801	38921769	2968
RP1-56K13.5	47.66	lincRNA	17	39003248	39013032	9784
RP1-56K13.6	56.62	processed_pseudogene	17	38996323	38996624	301
RP1-57E3.1	42.70	processed_pseudogene	6	48952070	48952781	711
RP1-58B11.1	51.62	lincRNA	1	5492978	5494674	1696
RP1-59B16.1	49.48	processed_pseudogene	6	23971879	23972941	1062
RP1-59D14.1	60.95	antisense	17	2384847	2386664	1817
RP1-59D14.10	54.19	antisense	17	2366589	2366791	202
RP1-59D14.5	57.58	antisense	17	2375061	2379306	4245
RP1-59D14.8	41.07	TEC	17	2460183	2460294	111
RP1-59D14.9	61.54	TEC	17	2424179	2424412	233
RP1-59M18.2	42.38	processed_transcript	11	18000542	18022931	22389
RP1-5O6.4	36.70	sense_intronic	22	38387918	38388857	939
RP1-5O6.5	51.45	antisense	22	38231320	38232248	928
RP1-5O6.6	51.00	sense_intronic	22	38259960	38266759	6799
RP1-60G11.1	35.23	processed_pseudogene	X	93776911	93777384	473
RP1-60N8.1	44.45	sense_intronic	X	17528435	17587160	58725
RP1-60O19.1	43.17	lincRNA	6	106717452	106787541	70089
RP1-60O19.2	42.85	lincRNA	6	106695535	106699994	4459
RP1-62D2.4	51.16	processed_pseudogene	6	11015586	11015888	302
RP1-63G5.5	57.74	sense_overlapping	22	37339583	37427445	87862
RP1-63G5.7	48.91	sense_intronic	22	37352190	37354839	2649
RP1-63G5.8	62.47	antisense	22	37371684	37372858	1174
RP1-63M2.5	57.87	antisense	20	33674517	33675380	863
RP1-63M2.7	57.95	lincRNA	20	33655701	33656423	722
RP1-63P18.2	48.41	unprocessed_pseudogene	1	40563534	40563659	125
RP1-65J11.1	46.32	lincRNA	1	30824228	30834284	10056
RP1-65J11.5	51.98	antisense	1	30858158	30860254	2096
RP1-65P5.3	44.06	antisense	11	32097143	32105091	7948
RP1-65P5.5	41.74	lincRNA	11	32132699	32143579	10880
RP1-66C13.1	35.62	processed_pseudogene	17	27707178	27707250	72
RP1-66C13.2	28.57	processed_pseudogene	17	27708111	27708138	27
RP1-66C13.4	44.74	protein_coding	17	27798806	27893365	94559
RP1-66H9.1	53.51	unprocessed_pseudogene	6	155004835	155005318	483
RP1-66N13.1	48.38	lincRNA	20	48383323	48384895	1572
RP1-66N13.4	43.28	lincRNA	20	48407367	48410716	3349
RP1-67A8.3	39.13	antisense	6	107509803	107511721	1918
RP1-67K17.3	39.10	antisense	6	142748443	142753759	5316
RP1-67K17.4	35.53	lincRNA	6	142788123	142794086	5963
RP1-68D18.2	42.80	sense_intronic	11	35212550	35214007	1457
RP1-68D18.3	41.27	antisense	11	35281813	35286009	4196
RP1-68D18.4	37.67	antisense	11	35210343	35214985	4642
RP1-69B13.2	36.70	processed_pseudogene	6	146364931	146365494	563
RP1-69D17.3	33.69	antisense	6	129479615	129481410	1795
RP1-69D17.4	38.23	lincRNA	6	129526626	129552587	25961
RP1-69E11.3	45.97	processed_pseudogene	1	168215405	168215652	247
RP1-69M21.2	52.00	lincRNA	1	11609531	11613355	3824
RP1-6P5.2	43.78	processed_pseudogene	6	128639188	128639653	465
RP1-71H19.2	34.79	lincRNA	6	57493855	57497691	3836
RP1-71H24.1	44.84	antisense	12	112907628	113017751	110123
RP1-71H24.6	45.83	lincRNA	12	112932743	112933222	479
RP1-72A23.1	35.06	processed_pseudogene	6	89059628	89060109	481
RP1-72A23.3	52.81	processed_pseudogene	6	89001548	89001814	266
RP1-72A23.4	48.91	TEC	6	88964527	88966587	2060
RP1-72E17.2	42.48	processed_pseudogene	6	3693923	3694075	152
RP1-73A14.1	42.22	processed_pseudogene	X	146955075	146955209	134
RP1-73A14.2	36.45	processed_pseudogene	X	146964176	146964485	309
RP1-74B13.2	47.38	lincRNA	12	110831779	110845963	14184
RP1-74M1.3	53.41	lincRNA	1	22916682	22921500	4818
RP1-76B20.11	57.92	antisense	22	29705256	29719859	14603
RP1-76B20.12	57.05	antisense	22	29711820	29719714	7894
RP1-76C18.1	35.62	processed_pseudogene	6	103002514	103003897	1383
RP1-77H15.1	39.46	sense_intronic	17	16557985	16559269	1284
RP1-78B3.1	40.95	lincRNA	22	35992321	36000469	8148
RP1-78O14.1	38.48	lincRNA	12	79341205	79503396	162191
RP1-79C4.1	38.54	lincRNA	1	170598854	170647339	48485
RP1-79C4.4	48.07	lincRNA	1	170667381	170669425	2044
RP1-7G5.5	44.04	processed_pseudogene	12	109859767	109860420	653
RP1-7G5.6	48.23	lincRNA	12	109880676	109888467	7791
RP1-80N2.2	47.55	lincRNA	6	6692744	6711002	18258
RP1-80N2.3	43.91	lincRNA	6	6680309	6683633	3324
RP1-80N2.4	44.75	TEC	6	6685148	6686984	1836
RP1-81D8.3	41.58	lincRNA	6	160698288	160700632	2344
RP1-81D8.4	40.71	unprocessed_pseudogene	6	160666228	160676523	10295
RP1-81D8.5	35.55	unprocessed_pseudogene	6	160755398	160757518	2120
RP1-81D8.6	43.00	unprocessed_pseudogene	6	160773988	160783214	9226
RP1-81P11.1	39.63	lincRNA	12	77219603	77228693	9090
RP1-84O15.2	36.89	lincRNA	8	34228439	34346731	118292
RP1-85D24.1	71.60	processed_pseudogene	Y	11107719	11107887	168
RP1-85D24.2	67.79	processed_pseudogene	Y	11107389	11107596	207
RP1-85D24.3	68.34	processed_pseudogene	Y	11107065	11107263	198
RP1-85D24.4	54.05	processed_pseudogene	Y	11042722	11042943	221
RP1-85D24.5	60.41	processed_pseudogene	Y	11085476	11086061	585
RP1-85F18.6	44.85	antisense	22	41169190	41183144	13954
RP1-86C11.7	43.54	lincRNA	6	27122657	27123221	564
RP1-86D1.2	35.89	sense_intronic	6	128430941	128432768	1827
RP1-86D1.3	42.17	TEC	6	128447398	128449301	1903
RP1-86D1.4	41.67	antisense	6	128505125	128506276	1151
RP1-86D1.5	44.77	antisense	6	128500527	128501176	649
RP1-89D4.1	44.53	processed_pseudogene	11	33237008	33237409	401
RP1-8B1.4	39.91	antisense	6	46097093	46129706	32613
RP1-8B22.2	36.32	processed_pseudogene	1	18595414	18595636	222
RP1-90G24.10	43.41	antisense	22	32205115	32269666	64551
RP1-90G24.11	35.63	lincRNA	22	32284683	32285131	448
RP1-90G24.6	34.70	lincRNA	22	32273420	32277186	3766
RP1-90G24.8	41.32	lincRNA	22	32159454	32160392	938
RP1-90J20.10	43.37	unitary_pseudogene	6	2910613	2912113	1500
RP1-90J20.14	51.89	processed_pseudogene	6	3033183	3033288	105
RP1-90J20.2	46.55	lincRNA	6	2916894	2917733	839
RP1-90J20.8	41.88	antisense	6	2989722	2999134	9412
RP1-90J4.1	43.23	lincRNA	12	47415008	47420179	5171
RP1-90J4.2	33.64	processed_pseudogene	12	47463087	47463621	534
RP1-90J4.3	45.94	processed_pseudogene	12	47484689	47485722	1033
RP1-90K10.4	50.77	lincRNA	6	36940071	36944675	4604
RP1-90L14.1	37.84	lincRNA	6	84421028	84556152	135124
RP1-90L6.3	47.23	lincRNA	22	26903292	26920611	17319
RP1-91G5.3	41.64	antisense	1	152373954	152445456	71502
RP1-91J24.1	38.58	processed_pseudogene	6	144257034	144257624	590
RP1-91J24.3	41.65	antisense	6	144311699	144333301	21602
RP1-91N13.1	36.23	processed_pseudogene	6	61240898	61241311	413
RP1-92C4.1	38.88	processed_pseudogene	6	79854684	79855632	948
RP1-92C4.2	36.23	lincRNA	6	79871873	79874610	2737
RP1-92C8.3	41.78	antisense	6	117451130	117453525	2395
RP1-92O14.3	47.42	antisense	1	43354684	43358658	3974
RP1-92O14.6	45.54	antisense	1	43385113	43389155	4042
RP1-93H18.1	37.84	lincRNA	6	116280199	116370273	90074
RP1-93H18.6	48.24	antisense	6	116460739	116463692	2953
RP1-93H18.7	39.66	lincRNA	6	116444160	116444860	700
RP1-93L7.3	34.93	processed_pseudogene	X	85849410	85850139	729
RP1-93L7.4	52.78	processed_pseudogene	X	85851575	85851682	107
RP1-95L4.2	44.33	processed_pseudogene	6	143298770	143299554	784
